CustomerID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
100000001,Renee Graham,Walsh,Male,21,Washington,White Collar,05.Jan.15,113810.15
400000002,Lisa Roman,Miller,Female,34,North Dakota,Blue Collar,06.Jan.15,36919.73
100000003,Natasha Murphy,Brown,Male,46,Wyoming,White Collar,07.Jan.15,101536.83
300000004,Sabrina Diaz,Parr,Male,32,Arizona,White Collar,08.Jan.15,1421.52
100000005,Andrea Fowler,Pullman,Female,38,Tennessee,Blue Collar,09.Jan.15,35639.79
300000006,Laura Fisher,Coleman,Female,30,South Dakota,Blue Collar,09.Jan.15,122443.77
100000007,Amanda Lopez,Thomson,Female,34,Montana,Blue Collar,11.Jan.15,42879.84
200000008,Kimberly Thomas,Knox,Female,48,Maryland,Other,11.Jan.15,36680.17
300000009,Michaela Valentine,Campbell,Female,33,Georgia,White Collar,11.Jan.15,74284.35
100000010,Heather Hill,Parr,Male,42,Louisiana,White Collar,12.Jan.15,10912.45
100000011,Patrick Mason,Lewis,Male,40,Washington,White Collar,12.Jan.15,39667.83
100000012,Samantha Butler,Grant,Male,39,Michigan,White Collar,12.Jan.15,32281.62
100000013,Regina Vance,MacDonald,Male,24,Illinois,White Collar,12.Jan.15,40781.63
200000014,Brian Davis,Lawrence,Male,46,Alaska,Other,12.Jan.15,48791.46
300000015,Luis Romero,Marshall,Female,36,California,Other,12.Jan.15,2846.03
100000016,Lisa Conner,Newman,Male,42,Delaware,White Collar,14.Jan.15,2116.85
200000017,Hailey Mcneil,Hill,Female,31,North Dakota,Other,14.Jan.15,10356.31
200000018,Belinda Roberts,Coleman,Female,42,Pennsylvania,Other,14.Jan.15,3801.69
100000019,Kendra Rodriguez,Ince,Male,40,Connecticut,Blue Collar,15.Jan.15,65534.69
100000020,Paige Hunter,Jones,Female,46,Georgia,Blue Collar,15.Jan.15,11462.64
300000021,Henry Stephens,Johnston,Male,37,Connecticut,Other,16.Jan.15,31778.9
200000022,Christopher Clark,Butler,Male,58,Virginia,Blue Collar,18.Jan.15,21252.97
300000023,Sheila Meyer,McDonald,Female,41,Massachusetts,White Collar,18.Jan.15,66785.78
200000024,Bryan Thomas,Quinn,Male,52,South Carolina,Blue Collar,19.Jan.15,6580.81
100000025,Donald Gonzalez,Hughes,Female,38,Kansas,White Collar,20.Jan.15,20505.32
200000026,Caitlyn Middleton,Fraser,Male,55,Hawaii,Blue Collar,21.Jan.15,43249.26
400000027,Brianna Campbell,McGrath,Female,37,Texas,White Collar,23.Jan.15,3967.2
100000028,Juan Garcia,Fisher,Female,33,Minnesota,White Collar,25.Jan.15,3428.56
200000029,Brittney Thomas,Mackenzie,Male,50,Wyoming,Blue Collar,25.Jan.15,20516.1
100000030,Danielle Patterson,Wilkins,Male,42,Oklahoma,White Collar,27.Jan.15,10813.83
100000031,Elizabeth Murphy,Bell,Female,25,Illinois,White Collar,28.Jan.15,38889.76
300000032,Jamie Castillo,Edmunds,Male,30,Delaware,White Collar,28.Jan.15,14094.01
200000033,Michael Jennings,Chapman,Female,58,Rhode Island,Other,29.Jan.15,25865.2
100000034,Ashley Barnes,Wilson,Male,26,Hawaii,Other,30.Jan.15,5833.62
100000035,Susan Rodriguez,Dyer,Female,34,Oklahoma,Blue Collar,31.Jan.15,77809.59
100000036,Bradley Morton,Thomson,Female,36,Washington,White Collar,31.Jan.15,31680.67
100000037,Scott Mccann,Gill,Female,33,Massachusetts,White Collar,31.Jan.15,20504.37
100000038,Laura Peters,Cornish,Male,31,Wisconsin,Other,31.Jan.15,5688.36
200000039,Christopher Henderson,Martin,Male,35,Utah,Blue Collar,31.Jan.15,12848.59
200000040,Thomas Higgins,Pullman,Male,59,Nebraska,Other,31.Jan.15,114456.23
100000041,Ms. Felicia Phillips,Terry,Male,27,Ohio,Blue Collar,01.Feb.15,51412.6
100000042,Randall Lewis,Black,Female,35,Nevada,White Collar,01.Feb.15,9695.7
200000043,Vanessa Lee,Morgan,Male,49,Hawaii,Blue Collar,01.Feb.15,114021.21
400000044,Amanda Thompson,Churchill,Female,22,Arizona,Other,01.Feb.15,107728.07
100000045,James Green,Johnston,Female,53,Alaska,Other,03.Feb.15,2893.19
200000046,David Brown,Berry,Female,47,North Dakota,Other,03.Feb.15,54589.61
200000047,Tiffany Rodgers,Nolan,Female,32,Vermont,Other,03.Feb.15,59501.63
400000048,Brenda Stanley,Lewis,Female,19,Idaho,Other,08.Feb.15,14337.82
100000049,Barry Ochoa,Ball,Male,27,Alabama,White Collar,12.Feb.15,23921.89
100000050,Lindsey Jimenez,Nolan,Male,39,Texas,White Collar,12.Feb.15,39034.14
100000051,Mr. Jeffrey James,Wilkins,Female,29,West Virginia,Blue Collar,12.Feb.15,1401.43
100000052,David Burns,James,Female,31,Massachusetts,Blue Collar,12.Feb.15,41626.25
100000053,Bradley Odonnell,Ellison,Female,37,Idaho,Other,12.Feb.15,47551.7
100000054,Tamara Allen,MacLeod,Female,32,South Carolina,White Collar,12.Feb.15,24187.98
100000055,Dennis Logan,Taylor,Male,24,New Mexico,White Collar,12.Feb.15,4912.21
100000056,Jeffery Alexander,Gibson,Male,40,Connecticut,White Collar,12.Feb.15,58391.45
100000057,James Thomas,Knox,Female,33,Nebraska,Blue Collar,12.Feb.15,58033.89
100000058,David Ruiz,Morgan,Male,44,Massachusetts,White Collar,12.Feb.15,35831.2
100000059,Chad Hays,Randall,Male,39,Oregon,Other,12.Feb.15,1879.85
100000060,Mary Scott,White,Male,47,New Mexico,White Collar,12.Feb.15,23375.57
100000061,Jeremy Patrick,Howard,Female,35,California,White Collar,12.Feb.15,4586.23
100000062,Savannah Oconnell,Bell,Female,47,Michigan,Other,12.Feb.15,20336.8
100000063,Billy Callahan,Gibson,Male,47,Ohio,White Collar,12.Feb.15,22414.93
100000064,Paul Hayes,Gibson,Female,39,Massachusetts,White Collar,12.Feb.15,40305.24
200000065,Daniel Griffin,Hughes,Female,50,New Mexico,Other,12.Feb.15,18091.36
200000066,Joseph Thompson,Burgess,Male,43,Alaska,Blue Collar,12.Feb.15,20076.8
200000067,James Joyce,Ellison,Male,47,Rhode Island,Blue Collar,12.Feb.15,5300.47
200000068,Tammy Holland,Piper,Male,61,North Dakota,Blue Collar,12.Feb.15,7162.43
200000069,Laura Campbell,Sharp,Male,53,Georgia,Blue Collar,12.Feb.15,35751.37
200000070,Lydia House,Parr,Male,45,Georgia,Other,12.Feb.15,15013.76
200000071,Matthew Campbell,Mills,Male,49,South Dakota,Blue Collar,12.Feb.15,70041.44
200000072,Eric Escobar,Roberts,Female,51,New York,Other,12.Feb.15,35937.38
300000073,James Hill,White,Female,36,South Dakota,White Collar,12.Feb.15,41442.1
300000074,Samantha Archer,Simpson,Male,45,Minnesota,Other,12.Feb.15,36696.92
400000075,Theresa Rivera,Dowd,Female,30,Virginia,White Collar,12.Feb.15,21.03
200000076,Kimberly Randolph,Hemmings,Male,44,Tennessee,Blue Collar,24.Feb.15,58237.65
100000077,Rebecca Reed,Brown,Male,38,Texas,White Collar,09.Mar.15,28509.46
100000078,Brian Lopez,Simpson,Female,36,Alaska,Other,10.Mar.15,38715.45
300000079,Kristen Coleman,Mathis,Female,23,Kentucky,Blue Collar,15.Mar.15,7370.52
100000080,Mark Adams,Peters,Male,34,Wyoming,White Collar,16.Mar.15,245.46
100000081,Mrs. Erika Williams,Buckland,Female,36,Mississippi,White Collar,16.Mar.15,59935.75
100000082,James Hays,Robertson,Male,20,Tennessee,White Collar,16.Mar.15,11624.36
100000083,Christopher King,Mackay,Male,31,Wyoming,Blue Collar,16.Mar.15,9346.66
100000084,Michael Wilkins,Fraser,Male,42,Connecticut,White Collar,16.Mar.15,43770.37
100000085,Norma Lewis,Buckland,Female,38,Delaware,White Collar,16.Mar.15,63642.19
100000086,Michael Mclaughlin,McGrath,Male,39,Georgia,White Collar,16.Mar.15,22831.08
