CustomerID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
100000001,Holly Campbell,Walsh,Male,7866,England,White Collar,05.Jan.15,113810.15
400000002,Jennifer Hill,Miller,Female,5752,Northern Ireland,Blue Collar,06.Jan.15,36919.73
100000003,Michelle Ortega,Brown,Male,8088,England,White Collar,07.Jan.15,101536.83
300000004,Nicole Stokes,Parr,Male,9892,Wales,White Collar,08.Jan.15,1421.52
100000005,Becky Beck,Pullman,Female,3890,England,Blue Collar,09.Jan.15,35639.79
300000006,Monica Crawford,Coleman,Female,4073,Wales,Blue Collar,09.Jan.15,122443.77
100000007,Luis Hill,Thomson,Female,5897,England,Blue Collar,11.Jan.15,42879.84
200000008,Sheri Townsend,Knox,Female,1412,Scotland,Other,11.Jan.15,36680.17
300000009,Teresa Simpson,Campbell,Female,2794,Wales,White Collar,11.Jan.15,74284.35
100000010,Thomas Lutz,Parr,Male,2657,England,White Collar,12.Jan.15,10912.45
100000011,John Smith,Lewis,Male,7576,England,White Collar,12.Jan.15,39667.83
100000012,Angelica Thomas,Grant,Male,2054,England,White Collar,12.Jan.15,32281.62
100000013,David Skinner,MacDonald,Male,3458,England,White Collar,12.Jan.15,40781.63
200000014,Kiara Smith,Lawrence,Male,8221,Scotland,Other,12.Jan.15,48791.46
300000015,Susan Reyes,Marshall,Female,5168,Wales,Other,12.Jan.15,2846.03
100000016,Donna Lee,Newman,Male,3198,England,White Collar,14.Jan.15,2116.85
200000017,Jason Harris,Hill,Female,9168,Scotland,Other,14.Jan.15,10356.31
200000018,Walter Herman,Coleman,Female,9554,Scotland,Other,14.Jan.15,3801.69
100000019,Amy Kelly,Ince,Male,242,England,Blue Collar,15.Jan.15,65534.69
100000020,Amy Torres,Jones,Female,2156,England,Blue Collar,15.Jan.15,11462.64
300000021,Kevin Kline,Johnston,Male,4255,Wales,Other,16.Jan.15,31778.9
200000022,Robert Gonzalez,Butler,Male,7457,Scotland,Blue Collar,18.Jan.15,21252.97
300000023,Shannon Willis,McDonald,Female,4570,Wales,White Collar,18.Jan.15,66785.78
200000024,Mitchell Delgado,Quinn,Male,6917,Scotland,Blue Collar,19.Jan.15,6580.81
100000025,Kevin Warren,Hughes,Female,3765,England,White Collar,20.Jan.15,20505.32
200000026,Joshua Frank,Fraser,Male,5031,Scotland,Blue Collar,21.Jan.15,43249.26
400000027,Jason Singleton,McGrath,Female,909,Northern Ireland,White Collar,23.Jan.15,3967.2
