Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
2785,Charles Wright,Walsh,Male,21,Kansas,White Collar,05.Jan.15,113810.15
7016,Ryan Kent,Miller,Female,34,New York,Blue Collar,06.Jan.15,36919.73
9022,Christopher Rivas,Brown,Male,46,Nevada,White Collar,07.Jan.15,101536.83
5521,Blake Foster,Parr,Male,32,Washington,White Collar,08.Jan.15,1421.52
1792,Miguel Wolf,Pullman,Female,38,New Hampshire,Blue Collar,09.Jan.15,35639.79
9532,David Young,Coleman,Female,30,New York,Blue Collar,09.Jan.15,122443.77
1865,Melissa Gaines,Thomson,Female,34,Washington,Blue Collar,11.Jan.15,42879.84
7490,Elizabeth Sloan,Knox,Female,48,Missouri,Other,11.Jan.15,36680.17
7625,Jessica Diaz,Campbell,Female,33,Alaska,White Collar,11.Jan.15,74284.35
7805,Rebecca Vance,Parr,Male,42,Montana,White Collar,12.Jan.15,10912.45
9908,Tim Gutierrez,Lewis,Male,40,Vermont,White Collar,12.Jan.15,39667.83
9711,Louis Hunter,Grant,Male,39,Maryland,White Collar,12.Jan.15,32281.62
620,Rachel Rowe,MacDonald,Male,24,Alaska,White Collar,12.Jan.15,40781.63
8516,Michelle Johnston,Lawrence,Male,46,Iowa,Other,12.Jan.15,48791.46
1518,Rebecca Cervantes,Marshall,Female,36,Colorado,Other,12.Jan.15,2846.03
9367,Jerry Dean,Newman,Male,42,New Jersey,White Collar,14.Jan.15,2116.85
1706,Kevin Reed,Hill,Female,31,Texas,Other,14.Jan.15,10356.31
4043,Jon Duke,Coleman,Female,42,Colorado,Other,14.Jan.15,3801.69
9849,Sarah Garza,Ince,Male,40,Tennessee,Blue Collar,15.Jan.15,65534.69
7067,Tiffany Ray,Jones,Female,46,Maryland,Blue Collar,15.Jan.15,11462.64
8000,Ronnie Buck,Johnston,Male,37,Colorado,Other,16.Jan.15,31778.9
6560,Kendra Conner,Butler,Male,58,Michigan,Blue Collar,18.Jan.15,21252.97
3840,William Martin,McDonald,Female,41,Vermont,White Collar,18.Jan.15,66785.78
4648,James Wade,Quinn,Male,52,California,Blue Collar,19.Jan.15,6580.81
4930,Kevin Thompson,Hughes,Female,38,Ohio,White Collar,20.Jan.15,20505.32
3174,Cynthia Cantrell,Fraser,Male,55,Wisconsin,Blue Collar,21.Jan.15,43249.26
4232,Alexis Reyes,McGrath,Female,37,Colorado,White Collar,23.Jan.15,3967.2
4774,Russell Johnson,Fisher,Female,33,Massachusetts,White Collar,25.Jan.15,3428.56
3719,Elaine Stewart,Mackenzie,Male,50,Ohio,Blue Collar,25.Jan.15,20516.1
7221,Billy Keller,Wilkins,Male,42,Maryland,White Collar,27.Jan.15,10813.83
8328,Harry Lambert,Bell,Female,25,Arizona,White Collar,28.Jan.15,38889.76
5719,Julia Holland,Edmunds,Male,30,Georgia,White Collar,28.Jan.15,14094.01
7174,Amber Shepherd,Chapman,Female,58,Massachusetts,Other,29.Jan.15,25865.2
5366,Jennifer Meyer,Wilson,Male,26,Montana,Other,30.Jan.15,5833.62
